Date,Location,Aboard,Fatalities
11/23/2001,"Palade, Estonia",17,2
11/24/2001,"Birchwil, Switzerland",33,24
11/27/2001,"Port Harcourt, Nigeria",13,1
11/28/2001,"San Jerónimo de Moravia , Costa Rica",8,3
12/1/2001,"Near Novaya Inya , Russia",18,18
12/1/2001,"Bessemer, Alabama",2,2
12/10/2001,"Sierra Blanca, Texas",2,2
12/14/2001,"Geti, DemocratiRepubliCongo",6,6
12/16/2001,"Near Medellin, Colombia",16,16
12/20/2001,"Zurich, Switzerland",2,2
12/26/2001,"Bremerhaven, Germany",9,8
1/1/2002,"Hollywood, Florida",5,5
1/4/2002,"Birmingham, England",5,5
1/9/2002,"Shamsi AFB, Pakistan",7,7
1/14/2002,"Bilbao, Spain",3,3
1/15/2002,"Chilpancingo, Mexico",17,5
1/16/2002,"Near Solo, Indonesia",62,1
1/17/2002,"Near La Bonita, Ecuador",26,26
1/19/2002,"Near Milford Sound, New Zealand",6,6
1/27/2002,"Near Luena, Angola",40,5
1/28/2002,"Near Ipiales, Colombia",92,92
2/2/2002,"Ellsworth AFB, South Dakota",2,2
2/12/2002,"Near Khorramabed, Iran",117,117
2/15/2002,"Monrovia, Liberia",10,1
2/21/2002,"Lakhta, Russia",20,17
2/22/2002,"Off Dumaguete, Philippines",10,10
3/9/2002,"Monte Rotondo, Italy",3,3
3/14/2002,"Near Placetas, Cuba",17,17
3/15/2002,"Alma, Wisconsin",1,1
3/17/2002,"Off Djibouti, Republiof Djibouti",4,4
4/1/2002,"Near Cairns, QLD, Australia",4,4
4/12/2002,"Palma de Mallorca, Spain",2,2
4/15/2002,"Busan, South Korea",166,128
4/18/2002,"Near Sweers Island, QLD, Australia",6,6
4/19/2002,"Popayán, Colombia",8,3
4/24/2002,"Near Olancho, Honduras",6,6
4/28/2002,"Near Abakan, Russia",20,8
5/4/2002,"Kano, Nigeria",77,74
5/7/2002,"Near Tunis, Tunisia",62,14
5/7/2002,"Off Dalian, China",112,112
5/21/2002,"Near Calabar, Nigeria",5,5
5/25/2002,"Off Penghu Island, Taiwan",225,225
5/25/2002,"Near Nabire, Indonesia",6,6
6/1/2002,"George, South Africa",3,3
6/2/2002,"Near Ndalatando, Angola",25,20
