Date,Location,Aboard,Fatalities
4/9/2009,"Near Wamena, Indonesia",6,6
4/17/2009,"Mount Gergaji, Indonesia",11,11
4/17/2009,"Canaima National Park, Venezuela",11,1
4/29/2009,"Massamba, DemocratiRepubliof Congo",7,7
5/3/2009,"Near El Alto de Rubio, Venezuela",18,18
5/20/2009,"Near Madiun, Indonesia",112,98
5/26/2009,"Near Isiro, DemocratiRepubliCongo",4,4
6/1/2009,"AtlantiOcean, 570 miles northeast of Natal, Brazil",228,228
6/7/2009,"Near Port Hope Simpson, Newfoundland, Canada",1,1
6/8/2009,"State of Arunachal Pradesh, India",13,13
